Stadtteil,Bevölkerung,Unter18-Jährige,Anteilderunter18-Jährigenin%,65-JährigeundÄltere,Anteilder65-JährigenundÄlterenin%,AusländerinnenundAusländer,Ausländeranteilin%,BevölkerungmitMigrations-hintergrund,AnteilderBevölkerungmitMigrations-hintergrundin%,Unter18-JährigemitMigrations-hintergrund,Anteilderunter18-JährigenmitMigrations-hintergrundin%,Haushalte,PersonenjeHaushalt,Einpersonen-haushalte,AnteilderEinpersonen-haushaltein%,HaushaltemitKindern,AnteilderHaushaltemitKindernin%,Alleinerziehende,AnteilderHaushaltevonAlleinerziehendenin%,Flächeinkm²,Bevölkerungs-dichte,Geburten,Sterbefälle,Zuzüge,Fortzüge,Wanderungssaldo,Sozial-versicherungs-pflichtigBeschäftigte(Dez2015),Beschäftigten-quotein%(Dez2015),Arbeitslose(Dez2015),Arbeitslosenanteilin%(Dez2015),JüngereArbeitslose(Dez2015),ArbeitslosenanteilJüngererin%(Dez2015),ÄltereArbeitslose(Dez2015),ArbeitslosenanteilÄltererin%(Dez2015),Leistungs-empfänger/-innennachSGBII(Dez2015),AnteilderLeistungs-empfänger/-innennachSGBIIin%(Dez2015),Unter15-JährigeinMindestsicherung(Dez2015),Anteilderunter15-JährigeninMindestsicherungin%(Dez2015),Bedarfs-gemeinschaftennachSGBII(Dez2015),Lohn-undEinkommen-steuerpflichtige(2010),Durchschnitt-lichesEinkommenjeSteuerpflichtigeninEUR(2010),Wohngebäude(2015),Wohnungen(2015),BezugsfertigeWohnungen(2015),WohnungeninEin-undZweifamilien-häusern(2015),AnteilderWohnungeninEin-undZweifamilien-häusernin%(2015),Wohnungsgrößeinm²(2015),WohnflächejeEinwohner/-ininm²(2015),Sozialwohnungen(Jan2016),Sozialwohnungs-anteilin%(Jan2016),SozialwohnungenmitBindungsauslaufbis2021,SozialwohnungenmitBindungsauslaufbis2021in%,PreisefürGrundstückeinEUR/m²(Jan2016),PreisefürEin-bzwZwei-familienhäuserinEUR/m²(Jan2016),PreisefürEigentums-wohnungeninEUR/m²(Jan2016),KindergärtenundVorschulklassen(März2016),Grundschulen(2015/2016),SchülerinnenundSchülerderSekundarstufeI(2015/2016),AnteilderSchülerinnenundSchülerinStadtteilschulenin%(2015/2016),AnteilderSchülerinnenundSchülerinGymnasienin%(2015/2016),NiedergelasseneÄrzte(Jan2016),Allgemeinärzte(Jan2016),Zahnärzte(Dez2015),Apotheken(Dez2015),PrivatePKW(Jan2016),PKW-Dichte(Jan2016)
Moorfleet,1263,214,16.9,191,15.1,229,18.1,347,27.7,79,37.4,586,2.0,259,44.2,117,20.0,17,14.5,4.3,295,15,12,205,166,+39,442,49.2,33,3.7,3,2,4,2.6,78,6.2,14,8.0,54,569,32536,331,445,6,356,80.0,101.2,35.7,,,,,159,2328,,,,66,65.2,33.3,,,,,645,511
Tatenberg,550,101,18.4,101,18.4,26,4.7,56,10.2,13,12.9,242,2.3,78,32.2,67,27.7,8,11.9,3.1,177,2,3,34,34,,216,60.0,3,0.8,,,,,4,0.7,,,4,254,38768,160,218,1,182,83.5,114.9,45.5,,,,,180,,,,,38,52.6,44.7,,,,,305,555
Spadenland,488,75,15.4,116,23.8,14,2.9,23,4.7,3,4.0,234,2.1,82,35.0,45,19.2,9,20.0,3.4,144,2,2,41,42,-1,182,57.6,11,3.5,,,3,5,10,2.0,,,8,262,30006,111,202,,116,57.4,108.5,44.9,,,,,179,,,,,30,73.3,26.7,,,,,275,564
Neuallermöhe,23896,5731,24.0,1837,7.7,3924,16.4,15277,64.0,4454,77.7,9599,2.4,2833,29.5,3317,34.6,873,26.3,4.2,5679,286,80,1724,1834,-110,9870,56.8,1114,6.4,62,1.8,146,4.8,4523,18.9,1626,34.7,1890,9307,26777,3164,9042,3,2473,27.4,80.7,30.5,5066,56.0,905,17.9,235,,,9,3,1960,56.5,41.2,14,8,7,2,7696,322
Harburg,24979,3765,15.1,2791,11.2,9878,39.5,14371,58.1,2994,80.5,13811,1.7,8702,63.0,2069,15.0,621,30.0,3.9,6480,350,190,6696,5354,+1342,8986,47.4,1562,8.2,160,3.9,164,8.5,4487,18.0,1309,40.5,2397,9339,19246,1558,12167,176,283,2.3,60.5,29.5,1075,8.8,427,39.7,277,2606,2561,15,3,1013,72.6,19.4,179,36,61,14,4610,185
NeulandundGutMoor,1710,390,22.8,252,14.7,471,27.5,687,40.2,240,61.7,731,2.2,292,39.9,182,24.9,29,15.9,10.0,171,25,9,481,280,+201,556,49.6,55,4.9,8,4,6,3.2,206,12.0,88,26.1,78,689,31010,426,562,3,463,82.4,102.4,33.7,,,,,193,,,,1,107,64.5,29.0,,,,,695,406
Wilstorf,16682,2742,16.4,3380,20.3,3501,21.0,6660,40.0,1769,64.5,9250,1.8,4949,53.5,1628,17.6,458,28.1,3.5,4791,195,224,2222,1780,+442,6364,57.5,778,7.0,64,3.3,122,6.8,2219,13.3,709,31.7,1096,7797,23985,2036,8490,125,1451,17.1,69.0,35.1,900,10.6,585,65.0,286,2128,2030,10,1,807,57.7,36.1,19,11,4,3,5300,318
Rönneburg,3198,609,19.0,592,18.5,335,10.5,930,29.1,252,41.5,1513,2.2,572,37.8,371,24.5,74,19.9,2.3,1413,26,31,244,230,+14,1265,60.0,86,4.1,8,2.1,14,3.5,184,5.8,54,10.9,94,1461,56002,772,1386,1,752,54.3,96.1,41.7,153,11.0,,,265,,,2,1,217,44.7,53.9,,,,,1461,457
Langenbek,4063,619,15.2,876,21.6,369,9.1,1207,29.7,270,43.7,2000,2.1,755,37.8,399,20.0,110,27.6,0.8,4848,24,23,304,321,-17,1555,57.7,125,4.6,11,2.3,30,4.3,249,6.1,68,13.8,132,1963,31482,1194,1863,,1129,60.6,86.8,39.8,352,18.9,181,51.4,256,2117,,1,,215,49.8,44.2,,,,1,1789,440
Sinstorf,3615,730,20.2,696,19.3,677,18.7,1253,34.7,418,57.4,1597,2.1,654,41.0,354,22.2,70,19.8,2.6,1412,43,34,429,378,+51,1334,57.5,119,5.1,13,3.1,17,4.8,349,9.7,121,20.2,140,1615,31736,840,1460,6,879,60.2,91.2,36.8,92,6.3,92,100.0,233,2165,,2,1,254,54.7,41.7,10,3,3,,1427,395
