Stadtteil,Bevölkerung,Unter18-Jährige,Anteilderunter18-Jährigenin%,65-JährigeundÄltere,Anteilder65-JährigenundÄlterenin%,AusländerinnenundAusländer,Ausländeranteilin%,BevölkerungmitMigrations-hintergrund,AnteilderBevölkerungmitMigrations-hintergrundin%,Unter18-JährigemitMigrations-hintergrund,Anteilderunter18-JährigenmitMigrations-hintergrundin%,Haushalte,PersonenjeHaushalt,Einpersonen-haushalte,AnteilderEinpersonen-haushaltein%,HaushaltemitKindern,AnteilderHaushaltemitKindernin%,Alleinerziehende,AnteilderHaushaltevonAlleinerziehendenin%,Flächeinkm²,Bevölkerungs-dichte,Geburten,Sterbefälle,Zuzüge,Fortzüge,Wanderungssaldo,Sozial-versicherungs-pflichtigBeschäftigte(Dez2015),Beschäftigten-quotein%(Dez2015),Arbeitslose(Dez2015),Arbeitslosenanteilin%(Dez2015),JüngereArbeitslose(Dez2015),ArbeitslosenanteilJüngererin%(Dez2015),ÄltereArbeitslose(Dez2015),ArbeitslosenanteilÄltererin%(Dez2015),Leistungs-empfänger/-innennachSGBII(Dez2015),AnteilderLeistungs-empfänger/-innennachSGBIIin%(Dez2015),Unter15-JährigeinMindestsicherung(Dez2015),Anteilderunter15-JährigeninMindestsicherungin%(Dez2015),Bedarfs-gemeinschaftennachSGBII(Dez2015),Lohn-undEinkommen-steuerpflichtige(2010),Durchschnitt-lichesEinkommenjeSteuerpflichtigeninEUR(2010),Wohngebäude(2015),Wohnungen(2015),BezugsfertigeWohnungen(2015),WohnungeninEin-undZweifamilien-häusern(2015),AnteilderWohnungeninEin-undZweifamilien-häusernin%(2015),Wohnungsgrößeinm²(2015),WohnflächejeEinwohner/-ininm²(2015),Sozialwohnungen(Jan2016),Sozialwohnungs-anteilin%(Jan2016),SozialwohnungenmitBindungsauslaufbis2021,SozialwohnungenmitBindungsauslaufbis2021in%,PreisefürGrundstückeinEUR/m²(Jan2016),PreisefürEin-bzwZwei-familienhäuserinEUR/m²(Jan2016),PreisefürEigentums-wohnungeninEUR/m²(Jan2016),KindergärtenundVorschulklassen(März2016),Grundschulen(2015/2016),SchülerinnenundSchülerderSekundarstufeI(2015/2016),AnteilderSchülerinnenundSchülerinStadtteilschulenin%(2015/2016),AnteilderSchülerinnenundSchülerinGymnasienin%(2015/2016),NiedergelasseneÄrzte(Jan2016),Allgemeinärzte(Jan2016),Zahnärzte(Dez2015),Apotheken(Dez2015),PrivatePKW(Jan2016),PKW-Dichte(Jan2016)
Hamburg-Altstadt,1879,190,10.1,231,12.3,421,22.4,786,42.0,128,68.1,1319,1.5,894,67.8,128,9.7,46,35.9,1.3,1459,17,14,450,306,+144,885,59.7,100,6.7,7,4.5,10,5.9,219,11.7,52,31.5,131,1728,26493,95,1234,77,17,1.4,72.2,47.4,214,17.3,76,35.5,,,,1,,47,59.6,36.2,148,42,47,9,585,311
HafenCity,2319,334,14.4,267,11.5,409,17.6,783,33.8,173,51.6,1279,1.9,600,46.9,235,18.4,43,18.3,2.4,957,34,5,626,366,+260,977,56.0,28,1.6,,,3,1.4,18,0.8,3,1,11,1041,81470,73,1220,458,6,0.5,93.5,49.2,9,0.7,9,100.0,,,6602,2,1,43,27.9,72.1,11,4,5,1,827,357
Neustadt,12586,1422,11.3,1812,14.4,2626,20.9,4601,36.5,705,49.6,8700,1.5,6041,69.4,993,11.4,302,30.4,2.2,5636,164,94,1940,1693,+247,5477,57.4,561,5.9,26,2.7,100,7.3,1067,8.5,192,15.7,754,6709,31180,638,7327,42,66,0.9,62.6,36.4,1507,20.6,641,42.5,,,2949,10,1,394,56.1,41.6,166,19,72,9,3065,244
St.Pauli,22535,2945,13.1,2138,9.5,4958,22.0,8201,36.4,1469,50.0,15176,1.5,10510,69.3,1948,12.8,653,33.5,2.3,9806,247,148,3207,3042,+165,8838,49.6,1447,8.1,76,4.0,184,9.5,3273,14.5,682,26.6,2147,11067,25615,1268,12336,29,165,1.3,64.1,35.1,2153,17.5,1014,47.1,1137,,4847,19,1,746,62.3,33.1,39,11,13,8,4316,192
St.Georg,10736,1087,10.1,1375,12.8,2468,23.0,4014,37.4,556,51.1,7028,1.5,4824,68.6,727,10.3,178,24.5,1.8,5847,117,98,2082,2024,+58,4503,53.4,483,5.7,42,3.8,64,5.7,895,8.3,152,16.3,622,5560,39261,534,6009,226,56,0.9,71.4,39.9,752,12.5,123,16.4,1895,,4654,8,3,276,44.6,53.6,106,36,15,8,2371,221
Hammerbrook,2454,151,6.2,98,4.0,1022,41.6,1362,55.5,111,73.5,1537,1.4,1168,76.0,100,6.5,40,40.0,2.5,996,13,6,1087,855,+232,1142,51.3,199,8.9,13,2.3,24,15.1,373,15.2,50,39.1,287,844,22664,70,1073,21,5,0.5,64.2,28.1,128,11.9,14,11,770,,,5,1,38,65.8,31.6,1,,13,,430,175
Borgfelde,6845,660,9.6,943,13.8,1592,23.3,2696,39.4,421,64.3,4336,1.4,3060,70.6,398,9.2,116,29.1,0.9,7922,79,56,1367,1320,+47,3048,57.2,305,5.7,19,1.9,48,7.8,606,8.9,116,20.2,419,3496,23026,375,4209,213,35,0.8,55.6,34.2,163,3.9,67,41.1,592,,3551,4,,181,60.8,37.0,5,2,3,1,1645,240
Hamm,38515,4450,11.6,5522,14.3,6990,18.1,13272,34.5,2776,62.6,25902,1.5,17627,68.1,2805,10.8,900,32.1,3.8,10235,436,351,5816,5178,+638,18130,62.0,1776,6.1,94,2.2,268,7.6,4073,10.6,1045,27.7,2433,20796,23447,2308,23210,36,257,1.1,58.7,35.4,1177,5.1,258,21.9,347,,2717,14,4,1162,59.6,36.1,29,12,28,6,10270,267
Horn,38253,5800,15.2,6158,16.1,9297,24.3,18604,48.7,4201,72.7,22558,1.7,13195,58.5,3543,15.7,1188,33.5,5.8,6570,465,387,4839,4796,+43,14794,54.4,2110,7.8,148,3.0,303,7.6,6506,17.0,1898,38.7,3532,17499,20043,2749,19287,43,984,5.1,60.8,30.7,1551,8.0,631,40.7,308,,2466,15,5,1778,65.0,29.6,37,22,14,6,9992,261
Billstedt,70100,13566,19.4,12589,18.0,16878,24.1,38744,55.3,10027,73.9,34592,2.0,15758,45.6,7865,22.7,2437,31.0,16.8,4162,767,589,5995,5592,+403,23783,51.3,4256,9.2,330,3.9,663,7.6,15352,21.9,4899,43.8,7305,29057,21705,7903,31507,177,6207,19.7,72.2,32.5,7723,24.5,2719,35.2,324,2491,2168,24,10,4628,67.8,28.4,98,47,37,10,21595,308
Billbrook,2176,625,28.7,127,5.8,1689,77.6,1745,83.3,602,97.6,663,1.9,417,62.9,130,19.6,33,25.4,6.1,355,33,14,1342,645,+697,408,26.8,140,9.2,12,3.2,22,13.2,707,32.5,246,46.5,316,382,25240,83,284,,72,25.4,65.8,8.6,,,,,194,,,1,1,176,79.0,11.9,,,,,282,130
Rothenburgsort,9138,1551,17.0,1339,14.7,2444,26.7,4842,53.0,1200,77.5,5181,1.8,3051,58.9,892,17.2,291,32.6,7.4,1240,123,109,1166,1090,+76,3426,53.1,620,9.6,34,3.3,83,8.2,1894,20.7,599,44.6,957,3830,18976,517,4523,,136,3.0,60.6,30.0,904,20.0,351,38.8,241,,3125,4,1,428,74.1,19.6,5,5,6,2,2327,255
Veddel,4704,964,20.5,390,8.3,2068,44.0,3341,71.0,898,93.2,2533,1.9,1476,58.3,528,20.8,138,26.1,4.4,1078,51,17,682,705,-23,1658,47.2,373,10.6,32,4.3,36,10.4,1194,25.4,365,45.6,557,1910,14633,210,2040,,14,0.7,61.0,26.4,414,20.3,98,24,169,,,2,1,351,77.8,19.9,1,1,2,,782,166
Wilhelmsburg,53764,11274,21.0,7317,13.6,17397,32.4,31239,58.6,8660,77.8,25921,2.0,12583,48.5,6083,23.5,1622,26.7,35.3,1525,735,431,6934,5319,+1615,18566,50.0,3662,9.9,241,3.2,468,9.5,12097,22.5,4019,43.1,5523,20153,20098,4621,22519,241,3151,14.0,69.6,29.1,5478,24.3,1425,26.0,155,2306,2084,22,8,3680,70.3,22.4,68,38,23,10,13393,249
KleinerGrasbrookundSteinwerder,1414,78,5.5,65,4.6,629,44.5,774,55.0,68,86.1,1117,1.3,883,79.1,48,4.3,19,39.6,12.3,115,7,3,573,400,+173,515,40.2,105,8.2,8,2.3,15,12.9,226,16.0,43,64.2,151,621,11663,70,735,,2,0.3,50.6,26.3,,,31,71.0,25.8,,,,,111,79
WaltershofundFinkenwerder,11733,1901,16.2,2289,19.5,1791,15.3,3185,27.2,803,42.3,6244,1.9,3108,49.8,1181,18.9,336,28.5,28.6,410,113,138,920,845,+75,4714,59.4,442,5.6,29,2.1,95,6.2,1087,9.3,300,19.8,606,5842,29837,2294,5771,18,1909,33.1,75.4,37.1,747,12.9,190,25.4,281,,,5,2,647,55.3,43.0,9,6,6,3,4217,359
Altona-Altstadt,28825,4376,15.2,3708,12.9,5645,19.6,10772,37.4,2301,52.5,17650,1.7,11062,62.7,2879,16.3,910,31.6,2.7,10486,373,256,3340,3284,+56,11682,54.7,1752,8.2,110,4.4,301,10.5,3800,13.2,866,22.9,2370,14133,27287,1593,15987,123,183,1.1,63.3,35.1,2876,18.0,1165,40.5,1462,,4911,29,4,1161,59.2,37.6,180,49,43,9,6596,229
Sternschanze,7891,1107,14.0,779,9.9,1624,20.6,2858,36.3,564,51.0,5116,1.6,3457,67.6,740,14.5,245,33.1,0.6,14321,99,107,1396,1285,+111,3229,52.5,430,7.0,23,3.1,63,10.9,973,12.3,251,26.0,560,4108,28257,497,4262,49,80,1.9,68.1,36.8,478,11.2,113,23.6,1137,,,4,1,278,56.1,38.8,40,8,6,3,1481,188
Altona-Nord,21876,3354,15.3,2192,10.0,4041,18.5,7693,35.2,1709,51.0,13634,1.6,8700,63.8,2198,16.1,634,28.8,2.2,10049,306,125,2807,2772,+35,9429,56.2,1212,7.2,72,3.6,203,9.5,2631,12.0,638,22.0,1629,11411,27257,1141,11728,39,116,1.0,63.7,34.1,1463,12.5,378,25.8,1017,,4911,14,2,917,56.6,38.8,29,7,6,4,5182,237
Ottensen,35199,5493,15.6,4599,13.1,4588,13.0,9083,25.8,1884,34.4,21497,1.7,13060,60.8,3680,17.1,1072,29.1,2.9,12299,474,234,4072,3662,+410,14512,56.1,1311,5.1,53,1.8,228,6.0,2349,6.7,478,10.1,1549,18369,36708,2374,19396,85,406,2.1,70.0,38.6,1410,7.3,837,59.4,1533,,4850,35,5,1500,49.9,48.2,171,27,66,10,9764,277
Bahrenfeld,29599,4695,15.9,4011,13.6,6304,21.3,9629,33.0,2106,45.9,16410,1.7,9768,59.5,2771,16.9,726,26.2,10.9,2726,408,254,6382,4961,+1421,12117,56.1,1361,6.3,142,4.2,208,7.8,2752,9.3,605,15.1,1828,14615,31146,3503,14217,82,2302,16.2,69.5,33.4,459,3.2,134,29.2,567,4068,3358,24,5,1315,54.9,42.1,35,13,23,5,8645,292
GroßFlottbek,10913,2269,20.8,2339,21.4,1343,12.3,2353,21.6,631,27.8,5214,2.1,2246,43.1,1321,25.3,204,15.4,2.4,4521,87,99,1302,1184,+118,3089,46.1,139,2.1,5,0.4,29,2.6,107,1.0,17,0.9,76,5108,81320,2427,5209,14,2196,42.2,103.7,49.5,36,0.7,,,948,4870,3831,6,1,730,14.2,84.9,67,13,23,5,4732,434
Othmarschen,14672,2874,19.6,3171,21.6,1729,11.8,3386,23.1,931,32.4,6939,2.1,2881,41.5,1690,24.4,223,13.2,6.0,2440,193,137,2142,1276,+866,4405,48.7,221,2.4,9,0.7,36,2.4,295,2.0,91,3.7,157,6512,104692,2729,6849,239,2350,34.3,113.5,53.0,157,2.3,99,63.1,1232,6021,5172,16,3,766,14.9,84.3,37,8,7,1,6488,442
Lurup,35591,6955,19.5,6654,18.7,6712,18.9,16122,45.3,4451,64.1,17336,2.0,7748,44.7,3981,23.0,1147,28.8,6.4,5581,394,396,3377,2926,+451,12592,54.5,1876,8.1,190,4.6,292,7.0,6029,16.9,2028,34.7,2867,15116,24990,5398,15893,256,5149,32.4,77.1,34.4,2481,15.6,1181,47.6,359,2822,2439,19,4,2308,60.9,35.3,31,15,13,6,11509,323
Osdorf,26507,5276,19.9,5918,22.3,4735,17.9,9891,38.0,2820,54.6,13069,2.0,6056,46.3,3012,23.0,887,29.4,7.3,3652,262,360,2985,2211,+774,8194,50.8,1142,7.1,106,3.8,183,6.2,3633,13.7,1213,27.1,1763,11385,42846,4013,12398,7,3327,26.8,84.3,39.4,1200,9.7,753,62.8,660,4088,2925,16,4,1692,51.2,44.3,65,17,14,5,9032,341
Nienstedten,7228,1482,20.5,1832,25.3,740,10.2,1345,18.6,369,24.9,3519,2.1,1535,43.6,858,24.4,131,15.3,4.4,1646,49,93,825,754,+71,1683,40.1,84,2.0,,,24,3.0,46,0.6,6,0.5,37,3351,138941,1799,3191,15,1696,53.1,124.0,54.7,,,,,1124,6116,4990,8,2,483,19.5,78.3,17,1,7,2,3617,500
Blankenese,13325,2435,18.3,3653,27.4,1092,8.2,2242,16.8,592,24.3,6922,2.0,3135,45.3,1398,20.2,236,16.9,8.3,1615,95,114,1390,1193,+197,3451,45.1,180,2.4,6,0.5,43,2.8,139,1.0,14,0.7,109,6166,101406,3368,6729,30,3090,45.9,116.9,59.0,32,0.5,,,1431,6234,4941,10,3,817,20.9,78.8,103,21,26,6,6584,494
Iserbrook,11244,2000,17.8,2877,25.6,864,7.7,2262,20.1,636,31.7,5585,2.0,2528,45.3,1239,22.2,307,24.8,2.7,4232,100,180,952,793,+159,3824,56.9,308,4.6,17,1.7,80,6.3,606,5.4,160,9.7,359,5562,35790,2460,5616,32,2290,40.8,83.7,41.8,132,2.4,32,24.2,489,3319,2933,8,3,685,47.6,50.2,10,8,5,1,4649,413
Sülldorf,9043,1698,18.8,1998,22.1,887,9.8,1857,20.6,429,25.3,4508,2.0,2078,46.1,990,22.0,232,23.4,5.6,1614,55,81,940,880,+60,2904,51.3,254,4.5,20,2.1,54,5.0,479,5.3,92,6.6,330,4423,42532,2370,4377,73,2224,50.8,90.5,43.8,208,4.8,,,609,3500,3462,3,1,590,37.1,61.7,12,7,3,2,3701,409
Rissen,15145,2726,18.0,4639,30.6,998,6.6,2412,15.9,683,25.0,7713,2.0,3454,44.8,1643,21.3,315,19.2,16.6,910,99,236,1240,989,+251,4201,50.8,335,4.0,18,1.4,79,4.5,533,3.5,135,6.0,321,7184,61866,3711,7347,63,3445,46.9,100.6,48.8,178,2.4,124,70,510,3836,3629,7,2,920,32.8,66.6,35,7,15,4,6694,442
Eimsbüttel,56889,7022,12.3,7064,12.4,6723,11.8,12800,22.5,2247,32.0,38532,1.5,26192,68.0,4884,12.7,1303,26.7,3.2,17756,774,393,7409,7062,+347,26137,60.0,1778,4.1,79,1.7,265,4.7,2730,4.8,487,7.8,1948,32786,34493,3252,34084,186,311,0.9,63.9,38.3,678,2.0,357,52.7,1403,,4116,61,9,1720,35.5,60.2,280,36,58,13,15208,267
Rotherbaum,16354,2237,13.7,2523,15.4,2670,16.3,4741,29.0,800,35.8,10647,1.6,6939,65.2,1455,13.7,342,23.5,2.7,6093,202,101,2539,2392,+147,5843,49.1,379,3.2,12,0.8,50,3.0,473,2.9,66,3.4,370,8473,63460,1188,9828,42,327,3.3,83.0,49.9,79,0.8,24,30.4,3266,7617,5802,16,2,583,16.3,82.5,132,18,49,8,5362,328
Harvestehude,17479,2642,15.1,3591,20.5,1975,11.3,4192,24.0,804,30.4,10702,1.7,6336,59.2,1664,15.5,356,21.4,2.0,8657,214,135,2232,1922,+310,5493,47.1,424,3.6,20,1.4,83,4.1,500,2.9,61,2.7,385,8916,88273,1346,10025,12,530,5.3,96.7,55.5,112,1.1,88,78.6,3660,7314,6959,18,1,742,15.2,83.7,129,15,46,5,6804,389
Hoheluft-West,13102,1655,12.6,1744,13.3,1363,10.4,2590,19.8,439,26.5,8791,1.5,5831,66.3,1190,13.5,315,26.5,0.7,18988,170,106,1862,1880,-18,6044,61.1,353,3.6,13,1.2,69,5.4,403,3.1,58,4.0,312,7865,37785,789,7868,9,108,1.4,66.3,39.8,28,0.4,16,57.1,1628,,4406,9,1,423,22.5,75.2,29,8,11,3,3762,287
Lokstedt,28252,4705,16.7,5774,20.4,3850,13.6,8167,28.9,2059,43.7,15354,1.8,8268,53.8,2890,18.8,633,21.9,4.9,5816,350,323,3513,3109,+404,10766,58.5,746,4.1,55,2.0,115,4.1,1972,7.0,583,14.3,989,13775,37901,3170,14758,30,2128,14.4,74.1,38.7,1160,7.9,1055,90.9,646,3948,3458,20,4,1257,37.2,57.3,61,19,18,7,9541,338
Niendorf,41120,6363,15.5,10885,26.5,3715,9.0,8058,19.7,2024,32.2,21713,1.9,10222,47.1,3961,18.2,804,20.3,12.7,3238,315,455,4324,3102,+1222,14800,59.1,802,3.2,56,1.5,194,3.9,1425,3.5,335,6.4,885,20942,38497,8408,20530,74,7255,35.3,85.6,42.7,797,3.9,565,70.9,444,3469,2808,18,5,2021,38.0,59.9,92,22,34,8,17410,423
Schnelsen,28626,5188,18.1,5868,20.5,3283,11.5,8173,28.6,2278,43.9,13848,2.0,5876,42.4,3200,23.1,807,25.2,9.0,3188,302,261,2932,2555,+377,10806,58.3,899,4.8,86,2.6,153,4.5,2662,9.3,816,19.3,1320,13379,35223,5723,13240,244,5215,39.4,88.4,40.9,1845,13.9,331,17.9,402,3163,2458,24,4,1784,60.0,37.6,47,19,27,6,11958,418
Eidelstedt,32317,5250,16.2,7209,22.3,5124,15.9,11087,34.3,2846,54.2,17106,1.9,8411,49.2,3190,18.6,844,26.5,8.7,3719,339,358,3659,2793,+866,11965,57.7,1254,6.0,106,3.1,246,6.5,3457,10.7,1050,24.0,1804,15112,27988,5037,15662,74,4354,27.8,75.2,36.5,1553,9.9,495,31.9,379,2761,2400,11,5,1536,59.2,37.5,51,15,20,5,11363,352
Stellingen,24726,3330,13.5,4913,19.9,3943,15.9,7686,31.1,1570,47.2,14312,1.7,8213,57.4,2145,15.0,542,25.3,5.8,4276,289,274,3945,3226,+719,10216,60.2,890,5.2,74,2.9,141,5.6,1965,7.9,444,15.6,1267,12062,30114,2769,13676,286,1688,12.3,69.6,38.5,204,1.5,118,57.8,409,2685,3272,11,3,889,48.8,45.4,35,13,9,3,8106,328
Hoheluft-Ost,9514,1217,12.8,1527,16.1,1018,10.7,2043,21.5,345,28.5,6249,1.6,4002,64.0,845,13.5,211,25.0,0.6,16375,162,42,1303,1282,+21,4079,58.9,244,3.5,9,1.3,55,5.2,290,3.0,33,3.1,242,5298,48162,631,5995,156,91,1.5,72.6,45.8,172,2.9,74,43.0,2070,,4406,6,1,310,23.5,76.5,183,45,19,4,3189,335
Eppendorf,24356,3316,13.6,4503,18.5,2263,9.3,4802,19.7,943,28.4,15152,1.6,9359,61.8,2198,14.5,506,23.0,2.7,8968,327,202,3337,3136,+201,10090,59.4,517,3.0,18,0.9,101,4.1,564,2.3,62,2.2,444,13328,61052,1625,14049,2,369,2.6,80.0,46.1,664,4.7,69,10.4,2284,,4590,13,3,819,22.3,74.6,151,25,43,10,7980,328
GroßBorstel,8769,1546,17.6,1780,20.3,1537,17.5,1936,23.5,457,34.3,4586,1.8,2554,55.7,778,17.0,193,24.8,4.5,1934,105,92,2574,1970,+604,2991,52.4,262,4.6,15,1.6,56,5.4,544,6.2,111,8.7,379,3955,39426,1745,4424,16,1573,35.6,74.7,37.7,202,4.6,82,40.6,457,4121,3241,8,2,418,38.0,58.9,5,4,8,2,3145,359
Alsterdorf,14123,2293,16.2,2803,19.8,1726,12.2,3527,25.0,852,37.2,7491,1.8,4031,53.8,1349,18.0,341,25.3,3.1,4614,137,183,1755,1610,+145,5037,53.8,343,3.7,17,1.2,69,4.2,882,6.2,255,13.1,478,6459,51489,1956,7351,33,1295,17.6,78.1,40.6,786,10.7,461,58.7,795,5056,3891,10,2,639,39.1,57.0,37,8,10,5,5090,360
Winterhude,54302,6672,12.3,7997,14.7,6451,11.9,12486,23.0,2260,33.9,34995,1.6,22898,65.4,4525,12.9,1096,24.2,7.6,7145,735,337,8912,7113,+1799,24802,61.3,1456,3.6,88,1.8,227,4.4,2478,4.6,462,7.9,1722,29212,48915,3608,32316,553,714,2.2,69.5,41.3,746,2.3,358,48.0,2530,6708,4861,37,5,1665,40.1,57.5,225,42,70,14,17392,320
Uhlenhorst,17104,1988,11.6,3401,19.9,1838,10.7,3905,22.9,720,36.3,11101,1.6,7052,63.5,1392,12.5,289,20.8,2.2,7860,197,199,2558,2027,+531,7167,60.0,344,2.9,11,1.0,71,4.0,428,2.5,57,3.2,328,9688,57277,1146,10389,160,202,1.9,78.1,47.5,56,1,56,100,2908,,5560,11,1,477,25.4,73.2,93,24,19,4,6241,365
Hohenfelde,9460,1062,11.2,1589,16.8,1651,17.5,3219,34.0,607,56.9,6108,1.5,4061,66.5,667,10.9,144,21.6,1.1,8262,120,107,1988,1658,+330,4027,58.1,303,4.4,14,1.5,50,5.6,569,6.0,112,11.9,378,4973,36850,681,5654,91,143,2.5,67.7,40.4,220,3.9,159,72.3,1325,,4415,3,,233,40.8,55.8,33,10,12,3,2664,282
Barmbek-Süd,33681,3353,10.0,5097,15.1,4148,12.3,8533,25.3,1485,44.2,23289,1.5,16171,69.4,2387,10.2,741,31.0,3.1,11007,372,271,5265,4684,+581,16667,65.0,1214,4.7,57,1.8,199,6.4,2213,6.6,394,13.4,1563,18800,28731,2076,21665,332,115,0.5,58.6,37.7,831,3.8,501,60.3,740,,3732,25,4,830,54.3,43.5,49,20,26,7,9799,291
Dulsberg,17231,2162,12.5,2165,12.6,3560,20.7,7106,41.3,1538,71.1,11935,1.5,8493,71.2,1363,11.4,595,43.7,1.2,14516,163,127,2451,2417,+34,7938,60.1,1212,9.2,78,3.8,152,9.2,3114,18.1,836,45.1,1864,8800,19453,1071,10719,14,39,0.4,53.3,33.1,1002,9.3,539,53.8,668,,2573,8,1,700,70.6,26.3,26,10,9,3,3845,223
Barmbek-Nord,40864,4065,9.9,5597,13.7,5169,12.6,10293,25.3,1866,46.3,28750,1.4,20377,70.9,2802,9.7,823,29.4,3.9,10440,501,385,6444,5719,+725,20883,65.9,1833,5.8,106,2.7,254,6.8,3439,8.4,668,18.8,2410,22404,25545,2667,26546,59,264,1.0,56.4,36.6,977,3.7,710,72.7,704,,3209,12,2,967,59.9,37.7,96,27,38,13,10921,267
Ohlsdorf,15471,2415,15.6,2674,17.3,1380,8.9,3161,20.5,714,29.6,8963,1.7,5051,56.4,1513,16.9,352,23.3,7.2,2159,154,118,2102,1613,+489,6449,60.2,450,4.2,19,1.3,87,5.3,906,5.9,208,10.0,589,8464,35324,2388,8191,12,1721,21.0,73.4,38.9,363,4.4,267,73.6,593,3744,3113,8,1,685,51.2,46.4,12,6,7,3,5368,347
Fuhlsbüttel,12572,1960,15.6,2486,19.8,1515,12.1,2723,21.7,622,31.7,7054,1.7,3876,54.9,1174,16.6,302,25.7,6.6,1910,121,116,1849,1469,+380,5046,59.6,377,4.5,28,2.1,68,4.9,819,6.5,192,11.9,507,6507,35699,2046,6675,15,1501,22.5,76.3,40.5,169,2.5,28,16.6,523,4119,2567,8,2,579,37.8,60.3,26,5,14,4,4711,375
Langenhorn,44795,7724,17.2,8864,19.8,6561,14.6,13147,29.4,3343,43.4,22519,1.9,10846,48.2,4549,20.2,1238,27.2,13.8,3257,453,457,6569,4100,+2469,16653,56.2,1492,5.0,145,2.7,249,4.9,4123,9.2,1212,19.2,2175,20413,28562,9200,20646,267,8361,40.5,75.9,35.0,2583,12.5,1789,69.3,313,2567,2618,24,6,2382,54.9,41.4,88,22,22,9,16389,366
Eilbek,21287,2365,11.1,3429,16.1,2910,13.7,6175,29.0,1276,54.0,14234,1.5,9478,66.6,1561,11.0,402,25.8,1.7,12333,274,168,2987,2696,+291,10214,64.6,812,5.1,40,2.0,142,6.9,1585,7.4,378,18.4,997,12083,28782,1532,12971,28,187,1.4,62.3,38.0,428,3.3,61,14.3,839,,3313,12,3,574,51.7,44.3,39,14,25,3,6301,296
Wandsbek,33913,4099,12.1,6614,19.5,5024,14.8,10739,31.7,2276,55.6,21096,1.6,12978,61.5,2657,12.6,713,26.8,6.0,5658,372,339,4754,4243,+511,14958,62.8,1319,5.5,88,2.4,226,6.4,3066,9.0,769,22.1,1818,17569,26844,3874,19557,15,2247,11.5,64.8,37.4,901,4.6,264,29.3,396,3011,2801,13,5,1110,53.3,43.6,63,26,41,8,11246,332
Marienthal,13083,1997,15.3,2825,21.6,1738,13.3,3582,27.4,849,42.6,7144,1.8,3783,53.0,1213,17.0,208,17.1,3.3,4022,141,180,2169,1730,+439,4788,55.7,322,3.7,14,1.1,67,4.9,559,4.3,111,6.7,370,6676,51563,2131,6525,18,1574,24.1,90.0,44.9,25,0.4,24,96.0,519,3855,3189,9,1,520,33.1,65.6,73,16,17,4,5263,402
Jenfeld,25087,4694,18.7,4612,18.4,5236,20.9,13375,53.3,3414,72.6,12714,2.0,6161,48.5,2714,21.3,829,30.5,5.0,4992,260,274,2718,2329,+389,8077,48.7,1485,8.9,100,2.9,270,8.4,5122,20.4,1630,42.1,2435,10128,22025,2632,10844,85,2073,19.1,72.7,31.4,1318,12.2,220,16.7,348,2811,2158,14,4,1596,63.8,32.4,29,13,15,5,7443,297
Tonndorf,14066,2289,16.3,2705,19.2,1936,13.8,4904,34.9,1258,55.0,7783,1.8,4078,52.4,1408,18.1,333,23.7,3.9,3569,169,143,1778,1379,+399,5603,59.6,571,6.1,39,2.7,104,6.6,1485,10.6,435,22.3,814,6840,30509,2298,7370,169,1772,24.0,76.2,39.9,678,9.2,550,81.1,360,2786,2438,5,1,700,57.0,39.7,21,6,12,3,5398,384
Farmsen-Berne,34890,6203,17.8,6921,19.8,4300,12.3,10501,30.1,2881,46.5,17605,1.9,8219,46.7,3788,21.5,1008,26.6,8.3,4226,382,386,3453,3208,+245,13438,58.9,1156,5.1,84,2.4,209,5.0,3556,10.2,1116,21.6,1758,16565,29526,6397,16622,47,5685,34.2,76.0,36.2,1133,6.8,204,18.0,387,2937,2455,22,8,2011,58.1,37.9,39,19,16,5,13204,378
Bramfeld,51115,7329,14.3,11248,22.0,5357,10.5,13659,26.8,3133,42.8,29386,1.8,15666,53.3,4797,16.3,1414,29.5,10.1,5065,470,552,4910,4425,+485,20485,60.5,1935,5.7,121,2.3,360,5.6,5197,10.2,1384,23.0,3046,25903,28716,8951,27512,116,7469,27.1,70.9,38.1,1884,6.8,491,26.1,427,2879,2602,24,5,2319,54.2,42.4,73,34,35,10,20500,401
Steilshoop,19328,3699,19.1,3773,19.5,4137,21.4,9356,48.4,2529,68.4,9683,2.0,4465,46.1,2137,22.1,679,31.8,2.5,7867,197,157,1604,1589,+15,6408,51.3,1312,10.5,113,4.8,191,8.3,4605,23.8,1502,49.1,2095,8599,21593,954,8738,28,335,3.8,74.2,33.6,2960,33.9,304,10.3,394,,2187,12,3,1249,69.6,25.0,10,7,8,3,5736,297
Wellingsbüttel,10524,1888,17.9,3014,28.6,677,6.4,1742,16.5,460,24.4,5115,2.1,2084,40.7,1108,21.7,153,13.8,4.1,2584,79,147,1011,816,+195,2966,49.8,130,2.2,6,0.7,38,3.2,144,1.4,24,1.5,106,5152,82817,2819,5035,27,2636,52.4,119.4,57.1,22,0.4,22,100.0,695,4316,3192,6,1,634,19.2,80.0,23,7,12,2,5294,503
Sasel,23443,4406,18.8,6001,25.6,1200,5.1,3431,14.6,987,22.4,11089,2.1,4074,36.7,2631,23.7,360,13.7,8.4,2805,166,172,1614,1440,+174,7434,53.7,346,2.5,15,0.7,108,3.4,343,1.5,64,1.8,231,11134,57224,7328,10702,88,7417,69.3,112.2,51.2,36,0.3,,,498,3470,2581,12,3,1548,31.8,66.6,31,9,13,2,11843,505
